pricestr,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,Hybrid
$4990,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,11.6236,grey,NA,automatic,sedan,1,4990,8.5151911,2007,11,2.4530375,0,0,0,1
$10625,chicago,chicago city,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,4.3702,grey,NA,automatic,sedan,1,10625,9.2709646,2009,9,1.4748088,0,0,0,1
$14850,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,NA,gas,3.5721,NA,NA,automatic,sedan,1,14850,9.6057549,2015,3,1.2731537,0,0,0,0
$15630,chicago,chicago city,2016 TOYOTA CAMRY,NA,NA,fwd,gas,1.3152,NA,NA,automatic,sedan,1,15630,9.6569471,2016,2,.27398875,0,0,0,0
$850,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.7452364,1993,25,2.9285235,0,0,0,0
$1300,chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,16.82425880432129,grey,NA,automatic,NA,0,1300,7.1701198,1998,20,2.8228219,0,0,0,0
$1600,chicago,chicago city,1998 toyota camry le,NA,NA,NA,gas,16.82425880432129,NA,NA,automatic,NA,0,1600,7.377759,1998,20,2.8228219,1,0,0,0
$1500,chicago,chicago city,1998 Toyota Camry,NA,NA,NA,gas,16.82425880432129,NA,NA,automatic,NA,0,1500,7.3132205,1998,20,2.8228219,0,0,0,0
$1650,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,NA,NA,automatic,sedan,0,1650,7.4085307,1999,19,3.0056827,0,0,0,0
$2295,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.7384882,2000,18,2.3702438,1,0,0,0
$1650,chicago,chicago city,2002 toyota camry solara,NA,6 cylinders,fwd,gas,16,black,NA,automatic,NA,0,1650,7.4085307,2002,16,2.7725887,0,0,0,0
$3500,chicago,chicago city,2002 toyota camry,NA,NA,NA,gas,14.32672119140625,NA,NA,automatic,NA,0,3500,8.1605186,2002,16,2.6621263,0,0,0,0
$1100,chicago,chicago city,2003 Toyota CAMRY XLE,NA,NA,NA,gas,14.08167171478271,white,NA,automatic,NA,0,1100,7.0030656,2003,15,2.6448741,0,1,0,0
$3800,chicago,chicago city,2003 toyota camry,NA,4 cylinders,NA,gas,11.9,NA,NA,automatic,NA,0,3800,8.2427559,2003,15,2.4765384,0,0,0,0
